City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,Kahului,20.89,-156.47,75.99,73,20,4.7,US,2020-06-29 17:11:59
171,Castro,-24.79,-50.01,61.0,77,100,8.32,BR,2020-06-29 17:11:21
172,Kupang,-10.17,123.58,73.27,83,80,10.07,ID,2020-06-29 17:20:28
173,Chokurdakh,70.63,147.92,44.73,59,91,7.94,RU,2020-06-29 17:11:12
174,Ketchikan,55.34,-131.65,53.6,87,90,6.93,US,2020-06-29 17:20:28
175,Severo-Kurilsk,50.68,156.12,48.07,89,100,10.09,RU,2020-06-29 17:11:48
176,Torit,4.41,32.57,75.76,74,54,3.38,SS,2020-06-29 17:20:29
177,Komsomolskiy,40.43,71.72,73.4,35,99,2.24,UZ,2020-06-29 17:20:29
178,Vardo,70.37,31.11,42.8,70,75,9.17,NO,2020-06-29 17:10:45
179,Port Hardy,50.7,-127.42,59.0,77,40,5.82,CA,2020-06-29 17:11:50
180,Nazas,25.23,-104.13,82.9,33,100,2.71,MX,2020-06-29 17:20:29
181,Medeiros Neto,-17.37,-40.22,74.68,73,85,13.76,BR,2020-06-29 17:20:29
182,Olafsvik,64.89,-23.71,53.73,76,47,19.95,IS,2020-06-29 17:11:30
183,Sur,22.57,59.53,87.82,68,58,16.6,OM,2020-06-29 17:20:30
184,Deputatskiy,69.3,139.9,43.48,70,71,2.8,RU,2020-06-29 17:11:28
185,Nouadhibou,20.93,-17.03,77.0,61,0,20.8,MR,2020-06-29 17:12:19
186,Gazli,40.13,63.45,78.51,17,48,8.84,UZ,2020-06-29 17:20:30
187,Solikamsk,59.62,56.77,47.46,78,100,4.38,RU,2020-06-29 17:20:30
188,Fort-De-France,14.61,-61.07,87.8,66,20,16.11,MQ,2020-06-29 17:20:30
189,Longyearbyen,78.22,15.64,41.0,75,75,8.05,SJ,2020-06-29 17:11:25
190,Sobolevo,54.43,31.9,69.53,84,9,4.76,RU,2020-06-29 17:12:15
191,Kidal,18.44,1.41,105.76,6,0,10.87,ML,2020-06-29 17:20:30
192,Awbari,26.59,12.78,100.45,10,0,11.56,LY,2020-06-29 17:20:30
193,Chuy,-33.7,-53.46,55.51,70,100,13.67,UY,2020-06-29 17:11:55
194,Rafaela,-31.25,-61.49,62.01,73,100,3.0,AR,2020-06-29 17:20:30
195,Tamworth,52.63,-1.7,59.0,67,90,12.75,GB,2020-06-29 17:20:30
196,Grand Gaube,-20.01,57.66,68.0,83,0,5.99,MU,2020-06-29 17:20:31
197,Ambon,-3.7,128.18,77.9,85,99,9.84,ID,2020-06-29 17:20:31
198,Ryotsu,38.08,138.43,68.0,88,75,4.7,JP,2020-06-29 17:20:31
199,Baykit,61.67,96.37,62.44,72,81,2.51,RU,2020-06-29 17:12:09
200,Vestmannaeyjar,63.44,-20.27,51.8,87,75,6.93,IS,2020-06-29 17:20:31
201,Getulio Vargas,-32.68,-53.55,57.81,65,100,15.86,UY,2020-06-29 17:20:31
202,Sovetskiy,61.36,63.58,50.85,62,100,7.56,RU,2020-06-29 17:20:32
203,Cabo San Lucas,22.89,-109.91,86.0,74,40,11.41,MX,2020-06-29 17:09:02
204,Kamenka,51.32,42.77,72.0,74,12,9.82,RU,2020-06-29 17:20:32
205,Barcelona,41.39,2.16,80.01,78,40,10.29,ES,2020-06-29 17:17:23
206,Hasaki,35.73,140.83,70.0,100,75,5.82,JP,2020-06-29 17:11:36
207,Ponta Do Sol,32.67,-17.1,75.2,60,20,13.87,PT,2020-06-29 17:11:44
208,Puerto Madero,14.72,-92.42,89.6,66,40,6.93,MX,2020-06-29 17:20:32
209,Riyadh,24.69,46.72,105.8,9,7,9.17,SA,2020-06-29 17:07:06
210,Bichena,10.45,38.2,60.22,76,79,3.15,ET,2020-06-29 17:20:32
211,Port-Gentil,-0.72,8.78,75.2,83,90,10.29,GA,2020-06-29 17:11:59
212,Velykoploske,47.01,29.67,86.0,45,41,3.36,UA,2020-06-29 17:20:32
213,Maarianhamina,60.1,19.93,69.8,60,70,3.36,AX,2020-06-29 17:20:32
214,Hazaribag,23.98,85.35,80.19,73,47,4.94,IN,2020-06-29 17:20:33
215,Irbit,57.67,63.07,50.23,93,100,6.02,RU,2020-06-29 17:20:33
216,Lata,40.16,-8.33,82.0,81,0,5.99,PT,2020-06-29 17:11:31
217,Narsaq,60.92,-46.05,53.6,54,40,11.41,GL,2020-06-29 17:11:23
218,Talnakh,69.49,88.4,60.8,63,97,11.18,RU,2020-06-29 17:11:43
219,Alta Floresta,-9.88,-56.09,92.55,31,0,3.85,BR,2020-06-29 17:20:33
220,Qostanay,53.17,63.58,59.0,51,55,4.47,KZ,2020-06-29 17:20:33
221,Tanout,14.97,8.89,85.82,46,91,16.8,NE,2020-06-29 17:08:04
222,Sete,43.4,3.7,86.0,42,1,20.8,FR,2020-06-29 17:16:45
223,Camana,-16.62,-72.71,67.28,65,21,8.34,PE,2020-06-29 17:20:33
224,Faanui,-16.48,-151.75,77.83,76,100,23.31,PF,2020-06-29 17:11:31
225,Englewood,39.65,-104.99,87.01,13,75,18.34,US,2020-06-29 17:17:22
226,Kaeo,-35.1,173.78,53.01,3,43,10.0,NZ,2020-06-29 17:20:34
227,Waverley,-25.7,28.26,59.0,34,0,4.7,ZA,2020-06-29 17:20:34
228,Rocha,-34.48,-54.33,54.57,72,100,12.71,UY,2020-06-29 17:11:49
229,Mwaya,-9.55,33.95,73.74,69,1,2.06,TZ,2020-06-29 17:20:34
230,Bilma,18.69,12.92,102.24,8,0,10.4,NE,2020-06-29 17:11:42
231,Rapid Valley,44.06,-103.15,84.2,48,1,8.05,US,2020-06-29 17:20:34
232,Sao Paulo De Olivenca,-3.38,-68.87,84.38,76,67,1.1,BR,2020-06-29 17:20:34
233,Moroni,-11.7,43.26,77.34,76,3,7.99,KM,2020-06-29 17:20:34
234,Ganzhou,28.82,115.43,76.08,94,53,3.62,CN,2020-06-29 17:20:34
235,Arraial Do Cabo,-22.97,-42.03,73.4,64,75,10.29,BR,2020-06-29 17:11:11
236,Norman Wells,65.28,-126.83,66.2,52,40,3.36,CA,2020-06-29 17:11:57
237,Beloha,-25.17,45.05,65.46,94,5,4.72,MG,2020-06-29 17:20:35
238,Mar Del Plata,-38.0,-57.56,54.0,66,75,14.99,AR,2020-06-29 17:11:02
239,Matagami,49.75,-77.63,78.8,44,1,9.17,CA,2020-06-29 17:20:35
240,Vittoria,36.95,14.53,84.2,39,0,4.7,IT,2020-06-29 17:20:35
241,Esperance,-33.87,121.9,50.0,81,8,16.11,AU,2020-06-29 17:12:12
242,Marabba,12.35,32.18,98.06,24,2,4.18,SD,2020-06-29 17:20:35
